Clock,Number of Servers,Number of Servers in Use,Number of Requests
0,10,0,197
1,10,10,187
2,10,10,187
3,10,10,187
4,10,10,189
5,10,10,189
6,10,10,189
7,10,10,189
8,10,10,189
9,10,10,189
10,10,10,190
11,10,10,190
12,10,10,190
13,10,10,190
14,10,10,190
15,10,10,190
16,10,10,192
17,10,10,192
18,10,10,193
19,10,10,194
20,10,10,194
21,10,10,194
22,10,10,194
23,10,10,193
24,10,10,193
25,10,10,194
26,10,10,196
27,10,10,197
28,10,10,197
29,10,10,197
30,10,10,198
31,10,10,199
32,10,10,200
33,10,10,200
34,10,10,199
35,10,10,200
36,10,10,198
37,10,10,198
38,10,10,198
39,10,10,198
40,10,10,198
41,10,10,198
42,10,10,201
43,10,10,200
44,10,10,200
45,10,10,200
46,10,10,199
47,10,10,199
48,10,10,198
49,10,10,198
50,10,10,198
51,10,10,197
52,10,10,197
53,10,10,199
54,10,10,199
55,10,10,199
56,10,10,201
57,10,10,201
58,10,10,201
59,10,10,201
60,10,10,201
61,10,10,201
62,10,10,201
63,10,10,201
64,10,10,201
65,10,10,201
66,10,10,201
67,10,10,201
68,10,10,201
69,10,10,201
70,10,10,200
71,10,10,198
72,10,10,198
73,10,10,198
74,10,10,197
75,10,10,197
76,10,10,197
77,10,10,198
78,10,10,198
79,10,10,198
80,10,10,199
81,10,10,199
82,10,10,199
83,10,10,199
84,10,10,199
85,10,10,200
86,10,10,200
87,10,10,200
88,10,10,200
89,10,10,202
90,10,10,202
91,10,10,203
92,10,10,203
93,10,10,203
94,10,10,202
95,10,10,203
96,10,10,203
97,10,10,206
98,10,10,206
99,10,10,206
100,10,10,207
101,10,10,207
102,10,10,206
103,10,10,206
104,10,10,206
105,10,10,206
106,10,10,206
107,10,10,206
108,10,10,206
109,10,10,207
110,10,10,207
111,10,10,206
112,10,10,206
113,10,10,205
114,10,10,206
115,10,10,206
116,10,10,206
117,10,10,206
118,10,10,208
119,10,10,208
120,10,10,209
121,10,10,209
122,10,10,208
123,10,10,209
124,10,10,210
125,10,10,209
126,10,10,209
127,10,10,209
128,10,10,209
129,10,10,208
130,10,10,208
131,10,10,208
132,10,10,209
133,10,10,209
134,10,10,209
135,10,10,209
136,10,10,209
137,10,10,210
138,10,10,210
139,10,10,211
140,10,10,211
141,10,10,210
142,10,10,210
143,10,10,210
144,10,10,211
145,10,10,211
146,10,10,212
147,10,10,212
148,10,10,212
149,10,10,214
150,10,10,215
151,10,10,215
152,10,10,215
153,10,10,216
154,10,10,216
155,10,10,216
156,10,10,216
157,10,10,216
158,10,10,215
159,10,10,215
160,10,10,215
161,10,10,215
162,10,10,215
163,10,10,217
164,10,10,216
165,10,10,216
166,10,10,216
167,10,10,214
168,10,10,214
169,10,10,215
170,10,10,215
171,10,10,215
172,10,10,216
173,10,10,216
174,10,10,215
175,10,10,215
176,10,10,215
177,10,10,215
178,10,10,215
179,10,10,216
180,10,10,216
181,10,10,216
182,10,10,216
183,10,10,216
184,10,10,216
185,10,10,216
186,10,10,216
187,10,10,216
188,10,10,216
189,10,10,215
190,10,10,214
191,10,10,214
192,10,10,214
193,10,10,216
194,10,10,217
195,10,10,217
196,10,10,219
197,10,10,219
198,10,10,219
199,10,10,219
200,10,10,218
201,10,10,218
202,10,10,218
203,10,10,218
204,10,10,220
205,10,10,220
206,10,10,221
207,10,10,219
208,10,10,219
209,10,10,219
210,10,10,220
211,10,10,221
212,10,10,222
213,10,10,222
214,10,10,223
215,10,10,223
216,10,10,223
217,10,10,223
218,10,10,223
219,10,10,224
220,10,10,225
221,10,10,226
222,10,10,226
223,10,10,227
224,10,10,227
225,10,10,226
226,10,10,226
227,10,10,226
228,10,10,226
229,10,10,226
230,10,10,226
231,10,10,224
232,10,10,224
233,10,10,224
234,10,10,224
235,10,10,224
236,10,10,225
237,10,10,225
238,10,10,226
239,10,10,225
240,10,10,226
241,10,10,226
242,10,10,225
243,10,10,225
244,10,10,225
245,10,10,225
246,10,10,224
247,10,10,223
248,10,10,223
249,10,10,224
250,10,10,224
251,10,10,224
252,10,10,224
253,10,10,223
254,10,10,223
255,10,10,223
256,10,10,223
257,10,10,223
258,10,10,224
259,10,10,224
260,10,10,224
261,10,10,224
262,10,10,224
263,10,10,224
264,10,10,224
265,10,10,225
266,10,10,225
267,10,10,225
268,10,10,225
269,10,10,225
270,10,10,225
271,10,10,225
272,10,10,225
273,10,10,225
274,10,10,225
275,10,10,225
276,10,10,225
277,10,10,225
278,10,10,225
279,10,10,225
280,10,10,225
281,10,10,225
282,10,10,226
283,10,10,226
284,10,10,226
285,10,10,226
286,10,10,226
287,10,10,227
288,10,10,227
289,10,10,227
290,10,10,226
291,10,10,226
292,10,10,226
293,10,10,226
294,10,10,226
295,10,10,226
296,10,10,226
297,10,10,226
298,10,10,226
299,10,10,226
300,10,10,227
301,10,10,227
302,10,10,227
303,10,10,226
304,10,10,225
305,10,10,225
306,10,10,225
307,10,10,224
308,10,10,224
309,10,10,224
310,10,10,224
311,10,10,224
312,10,10,224
313,10,10,224
314,10,10,226
315,10,10,226
316,10,10,226
317,10,10,226
318,10,10,226
319,10,10,226
320,10,10,226
321,10,10,226
322,10,10,226
323,10,10,228
324,10,10,228
325,10,10,228
326,10,10,228
327,10,10,228
328,10,10,229
329,10,10,229
330,10,10,228
331,10,10,227
332,10,10,227
333,10,10,228
334,10,10,228
335,10,10,228
336,10,10,227
337,10,10,227
338,10,10,227
339,10,10,227
340,10,10,227
341,10,10,227
342,10,10,226
343,10,10,226
344,10,10,226
345,10,10,226
346,10,10,228
347,10,10,228
348,10,10,226
349,10,10,226
350,10,10,227
351,10,10,228
352,10,10,228
353,10,10,227
354,10,10,227
355,10,10,227
356,10,10,227
357,10,10,227
358,10,10,227
359,10,10,227
360,10,10,227
361,10,10,227
362,10,10,227
363,10,10,227
364,10,10,227
365,10,10,226
366,10,10,225
367,10,10,227
368,10,10,227
369,10,10,228
370,10,10,228
371,10,10,229
372,10,10,228
373,10,10,227
374,10,10,227
375,10,10,227
376,10,10,226
377,10,10,226
378,10,10,226
379,10,10,224
380,10,10,223
381,10,10,223
382,10,10,223
383,10,10,222
384,10,10,222
385,10,10,223
386,10,10,223
387,10,10,223
388,10,10,223
389,10,10,223
390,10,10,223
391,10,10,223
392,10,10,223
393,10,10,223
394,10,10,223
395,10,10,223
396,10,10,223
397,10,10,223
398,10,10,222
399,10,10,222
400,10,10,222
401,10,10,222
402,10,10,222
403,10,10,222
404,10,10,222
405,10,10,223
406,10,10,223
407,10,10,223
408,10,10,223
409,10,10,222
410,10,10,222
411,10,10,221
412,10,10,221
413,10,10,222
414,10,10,222
415,10,10,223
416,10,10,223
417,10,10,223
418,10,10,224
419,10,10,224
420,10,10,227
421,10,10,226
422,10,10,226
423,10,10,226
424,10,10,226
425,10,10,227
426,10,10,228
427,10,10,228
428,10,10,227
429,10,10,227
430,10,10,226
431,10,10,225
432,10,10,225
433,10,10,225
434,10,10,225
435,10,10,225
436,10,10,225
437,10,10,225
438,10,10,227
439,10,10,227
440,10,10,227
441,10,10,228
442,10,10,228
443,10,10,228
444,10,10,229
445,10,10,229
446,10,10,229
447,10,10,229
448,10,10,230
449,10,10,230
450,10,10,229
451,10,10,231
452,10,10,231
453,10,10,232
454,10,10,231
455,10,10,233
456,10,10,233
457,10,10,233
458,10,10,233
459,10,10,233
460,10,10,233
461,10,10,233
462,10,10,233
463,10,10,233
464,10,10,234
465,10,10,234
466,10,10,232
467,10,10,232
468,10,10,233
469,10,10,232
470,10,10,232
471,10,10,232
472,10,10,231
473,10,10,231
474,10,10,231
475,10,10,230
476,10,10,230
477,10,10,231
478,10,10,232
479,10,10,232
480,10,10,232
481,10,10,232
482,10,10,232
483,10,10,232
484,10,10,233
485,10,10,234
486,10,10,234
487,10,10,234
488,10,10,234
489,10,10,235
490,10,10,235
491,10,10,234
492,10,10,235
493,10,10,235
494,10,10,236
495,10,10,235
496,10,10,236
497,10,10,236
498,10,10,236
499,10,10,235
500,10,10,235
501,10,10,236
502,10,10,236
503,10,10,236
504,10,10,236
505,10,10,236
506,10,10,236
507,10,10,236
508,10,10,236
509,10,10,236
510,10,10,236
511,10,10,238
512,10,10,237
513,10,10,238
514,10,10,238
515,10,10,238
516,10,10,239
517,10,10,239
518,10,10,238
519,10,10,238
520,10,10,238
521,10,10,238
522,10,10,238
523,10,10,238
524,10,10,238
525,10,10,238
526,10,10,238
527,10,10,237
528,10,10,237
529,10,10,236
530,10,10,238
531,10,10,238
532,10,10,238
533,10,10,239
534,10,10,239
535,10,10,239
536,10,10,238
537,10,10,238
538,10,10,238
539,10,10,237
540,10,10,237
541,10,10,236
542,10,10,236
543,10,10,236
544,10,10,236
545,10,10,236
546,10,10,236
547,10,10,235
548,10,10,234
549,10,10,234
550,10,10,234
551,10,10,234
552,10,10,234
553,10,10,234
554,10,10,233
555,10,10,233
556,10,10,233
557,10,10,233
558,10,10,233
559,10,10,233
560,10,10,232
561,10,10,232
562,10,10,233
563,10,10,233
564,10,10,233
565,10,10,235
566,10,10,236
567,10,10,236
568,10,10,237
569,10,10,237
570,10,10,237
571,10,10,238
572,10,10,239
573,10,10,239
574,10,10,239
575,10,10,239
576,10,10,238
577,10,10,238
578,10,10,239
579,10,10,238
580,10,10,238
581,10,10,239
582,10,10,239
583,10,10,240
584,10,10,240
585,10,10,239
586,10,10,240
587,10,10,240
588,10,10,240
589,10,10,240
590,10,10,241
591,10,10,240
592,10,10,240
593,10,10,241
594,10,10,242
595,10,10,242
596,10,10,242
597,10,10,242
598,10,10,242
599,10,10,243
600,10,10,244
601,10,10,243
602,10,10,242
603,10,10,242
604,10,10,242
605,10,10,242
606,10,10,242
607,10,10,242
608,10,10,243
609,10,10,243
610,10,10,243
611,10,10,243
612,10,10,243
613,10,10,243
614,10,10,243
615,10,10,243
616,10,10,245
617,10,10,244
618,10,10,245
619,10,10,246
620,10,10,246
621,10,10,245
622,10,10,245
623,10,10,244
624,10,10,243
625,10,10,246
626,10,10,245
627,10,10,245
628,10,10,245
629,10,10,245
630,10,10,245
631,10,10,244
632,10,10,244
633,10,10,244
634,10,10,244
635,10,10,244
636,10,10,244
637,10,10,244
638,10,10,246
639,10,10,246
640,10,10,246
641,10,10,245
642,10,10,245
643,10,10,245
644,10,10,245
645,10,10,245
646,10,10,245
647,10,10,245
648,10,10,245
649,10,10,245
650,10,10,244
651,10,10,244
652,10,10,244
653,10,10,244
654,10,10,245
655,10,10,246
656,10,10,246
657,10,10,246
658,10,10,247
659,10,10,247
660,10,10,249
661,10,10,249
662,10,10,249
663,10,10,249
664,10,10,250
665,10,10,250
666,10,10,253
667,10,10,253
668,10,10,253
669,10,10,253
670,10,10,253
671,10,10,253
672,10,10,253
673,10,10,254
674,10,10,253
675,10,10,253
676,10,10,253
677,10,10,252
678,10,10,252
679,10,10,253
680,10,10,253
681,10,10,253
682,10,10,253
683,10,10,256
684,10,10,255
685,10,10,255
686,10,10,257
687,10,10,259
688,10,10,259
689,10,10,257
690,10,10,257
691,10,10,257
692,10,10,258
693,10,10,257
694,10,10,256
695,10,10,256
696,10,10,256
697,10,10,256
698,10,10,256
699,10,10,256
700,11,10,255
701,11,11,255
702,11,11,255
703,11,11,256
704,11,11,257
705,11,11,257
706,11,11,256
707,11,11,257
708,11,11,257
709,11,11,257
710,11,11,259
711,11,11,259
712,11,11,259
713,11,11,259
714,11,11,260
715,11,11,260
716,11,11,260
717,11,11,262
718,11,11,263
719,11,11,263
720,11,11,263
721,11,11,263
722,11,11,263
723,11,11,263
724,11,11,263
725,11,11,263
726,11,11,263
727,11,11,263
728,11,11,264
729,11,11,264
730,11,11,266
731,11,11,265
732,11,11,265
733,11,11,265
734,11,11,265
735,11,11,265
736,11,11,265
737,11,11,266
738,11,11,266
739,11,11,266
740,11,11,266
741,11,11,266
742,11,11,266
743,11,11,266
744,11,11,266
745,11,11,266
746,11,11,266
747,11,11,266
748,11,11,266
749,11,11,266
750,11,11,266
751,11,11,266
752,11,11,265
753,11,11,266
754,11,11,266
755,11,11,266
756,11,11,266
757,11,11,266
758,11,11,265
759,11,11,265
760,11,11,265
761,11,11,265
762,11,11,266
763,11,11,267
764,11,11,266
765,11,11,266
766,11,11,267
767,11,11,267
768,11,11,266
769,11,11,266
770,11,11,266
771,11,11,267
772,11,11,267
773,11,11,267
774,11,11,267
775,11,11,267
776,11,11,267
777,11,11,267
778,11,11,267
779,11,11,267
780,11,11,266
781,11,11,266
782,11,11,266
783,11,11,266
784,11,11,265
785,11,11,265
786,11,11,265
787,11,11,266
788,11,11,267
789,11,11,269
790,11,11,269
791,11,11,269
792,11,11,268
793,11,11,269
794,11,11,269
795,11,11,270
796,11,11,271
797,11,11,271
798,11,11,272
799,11,11,272
800,11,11,272
801,11,11,272
802,11,11,273
803,11,11,273
804,11,11,273
805,11,11,274
806,11,11,274
807,11,11,274
808,11,11,274
809,11,11,274
810,11,11,273
811,11,11,273
812,11,11,273
813,11,11,272
814,11,11,272
815,11,11,271
816,11,11,271
817,11,11,271
818,11,11,271
819,11,11,270
820,11,11,270
821,11,11,270
822,11,11,270
823,11,11,271
824,11,11,271
825,11,11,271
826,11,11,271
827,11,11,271
828,11,11,271
829,11,11,272
830,11,11,273
831,11,11,273
832,11,11,273
833,11,11,273
834,11,11,272
835,11,11,271
836,11,11,271
837,11,11,271
838,11,11,271
839,11,11,270
840,11,11,273
841,11,11,273
842,11,11,273
843,11,11,275
844,11,11,275
845,11,11,275
846,11,11,276
847,11,11,276
